,count,name,type,time,OK
0,57.0,tran_SchGtKfsTlVh,Sch,Thu Mar  5 20:58:38 2026,True
1,55.0,tran_SchGtKsfTlVh,Sch,Thu Mar  5 20:58:37 2026,True
2,77.0,tran_SchGtKffTlVh,Sch,Thu Mar  5 20:58:37 2026,True
3,43.0,tran_SchGtKssTlVh,Sch,Thu Mar  5 20:58:37 2026,False
4,133.0,tran_SchGtKfsThVh,Sch,Thu Mar  5 20:58:37 2026,True
5,134.0,tran_SchGtKsfThVh,Sch,Thu Mar  5 20:58:37 2026,True
6,177.0,tran_SchGtKffThVh,Sch,Thu Mar  5 20:58:37 2026,False
7,103.0,tran_SchGtKssThVh,Sch,Thu Mar  5 20:58:37 2026,True
8,54.0,tran_SchGtKfsTlVl,Sch,Thu Mar  5 20:58:37 2026,True
9,46.0,tran_SchGtKsfTlVl,Sch,Thu Mar  5 20:58:37 2026,False
10,73.0,tran_SchGtKffTlVl,Sch,Thu Mar  5 20:58:37 2026,True
11,37.0,tran_SchGtKssTlVl,Sch,Thu Mar  5 20:58:36 2026,False
12,132.0,tran_SchGtKfsThVl,Sch,Thu Mar  5 20:58:36 2026,True
13,131.0,tran_SchGtKsfThVl,Sch,Thu Mar  5 20:58:36 2026,True
14,173.0,tran_SchGtKffThVl,Sch,Thu Mar  5 20:58:36 2026,False
15,101.0,tran_SchGtKssThVl,Sch,Thu Mar  5 20:58:36 2026,True
